News Article	 || 			polarity			 || 																																			"match"																												 || 																							"News Description/Content"

1				 || 			Negative			 || 			"nullLast, fall, Facebook, announced, a, preview, for, its, cloud, gaming, service, and, today, Facebook, is, updating, its, cloud, gaming, efforts, with, expanded, coverage, and, a, new, injection, of, content, from, Ubisoft, rnIni"			 || 			"Last fall, Facebook announced a preview for its cloud gaming service, and today, Facebook is updating its cloud gaming efforts with expanded coverage and a new injection of content from Ubisoft.rnIni "
139				 || 			Positive			 || 			"nullOttawa, researchers, have, been, awarded, 8, million, to, study, how, well, COVID19, vaccines, work, in, people, with, varied, immune, responses, including, those, with, cancer, and, other, medical, conditions, rnThe, Ottawa"			 || 			"Ottawa researchers have been awarded 8 million to study how well COVID19 vaccines work in people with varied immune responses, including those with cancer and other medical conditions.rnThe Ottawa  "
140				 || 			Negative			 || 			"nullThere, is, pleasure, in, pressing, a, bed, bug, to, death, between, your, fingers, When, it, expires, theres, a, stale, stench, like, catching, a, whiff, of, permanent, marker, The, bugs, body, gives, way, easily, leaving, behin"			 || 			"There is pleasure in pressing a bed bug to death between your fingers. When it expires, theres a stale stench, like catching a whiff of permanent marker. The bugs body gives way easily, leaving behin "
141				 || 			Negative			 || 			"nullHackers, associated, with, China, are, allegedly, responsible, for, a, massive, wave, of, recent, cyber, attacks, targeting, thousands, of, businesses, governments, and, nonprofit, organizations, in, the, western, world, a"			 || 			"Hackers associated with China are allegedly responsible for a massive wave of recent cyber attacks targeting thousands of businesses, governments, and nonprofit organizations in the western world, a "
142				 || 			Neutral			 || 			"nullThe, abiding, image, of, the, Iraq, war, in, 2003, was, the, toppling, of, a, statue, of, the, countrys, dictator, Saddam, Hussein, It, was, an, image, relayed, across, the, world, as, a, symbol, of, victory, for, the, Americanled, c"			 || 			"The abiding image of the Iraq war in 2003 was the toppling of a statue of the countrys dictator, Saddam Hussein. It was an image relayed across the world as a symbol of victory for the Americanled c "
143				 || 			Neutral			 || 			"nullOTTAWA, ON, July, 5, 2021, /CNW/, As, more, and, more, Canadians, get, vaccinated, against, COVID19, the, Government, of, Canada, is, taking, action, to, make, sure, every, Canadian, who, wants, a, vaccine, can, get, one, whi"			 || 			"OTTAWA, ON, July 5, 2021 /CNW/ As more and more Canadians get vaccinated against COVID19, the Government of Canada is taking action to make sure every Canadian who wants a vaccine can get one, whi "
144				 || 			Positive			 || 			"nullWelcome, back, to, This, Week, in, Apps, the, weekly, TechCrunch, series, that, recaps, the, latest, in, mobile, OS, news, mobile, applications, and, the, overall, app, economy, rnThe, app, industry, continues, to, grow, with, a"			 || 			"Welcome back to This Week in Apps, the weekly TechCrunch series that recaps the latest in mobile OS news, mobile applications and the overall app economy.rnThe app industry continues to grow, with a  "
145				 || 			Positive			 || 			"nullWelcome, back, to, This, Week, in, Apps, the, weekly, TechCrunch, series, that, recaps, the, latest, in, mobile, OS, news, mobile, applications, and, the, overall, app, economy, rnThe, app, industry, continues, to, grow, with, a"			 || 			"Welcome back to This Week in Apps, the weekly TechCrunch series that recaps the latest in mobile OS news, mobile applications and the overall app economy.rnThe app industry continues to grow, with a  "
146				 || 			Neutral			 || 			"nullTORONTO, rnSchools, in, communities, with, a, low, number, of, COVID19, hospitalizations, should, be, able, to, forgo, physical, distancing, and, cohorting, in, the, fall, while, adopting, a, more, relaxed, approach, when, it"			 || 			"TORONTO  rnSchools in communities with a low number of COVID19 hospitalizations should be able to forgo physical distancing and cohorting in the fall while adopting a more relaxed approach when it "
147				 || 			Neutral			 || 			"nullThis, summer, marks, 50, years, since, NASA, dispatched, the, Apollo, 16, astronauts, to, Sudbury, for, field, training, ahead, of, their, trip, to, the, moon, rnCommander, John, Young, and, pilot, Charles, Duke, whose, spacecraft"			 || 			"This summer marks 50 years since NASA dispatched the Apollo 16 astronauts to Sudbury for field training ahead of their trip to the moon.rnCommander John Young and pilot Charles Duke, whose spacecraft "
148				 || 			Negative			 || 			"nullBob, Moses, AP, Photo/Rogelio, V, Solis, File, rnRobert, Bob, Moses, a, civil, rights, activist, who, pushed, for, quality, public, school, education, for, all, children, has, died, NAACP, President, Derrick, Johnson, ann"			 || 			"Bob Moses. AP Photo/Rogelio V. Solis, File rnRobert Bob Moses, a civil rights activist who pushed for quality public school education for all children, has died, NAACP President Derrick Johnson ann "
149				 || 			Positive			 || 			"nullCanada, now, has, enough, COVID19, vaccines, to, fully, vaccinate, all, eligible, Canadians, Prime, Minister, Justin, Trudeau, announced, Tuesday, during, a, stop, in, New, Brunswick, rnSpeaking, from, the, vaccine, clinic, at"			 || 			"Canada now has enough COVID19 vaccines to fully vaccinate all eligible Canadians, Prime Minister Justin Trudeau announced Tuesday during a stop in New Brunswick.rnSpeaking from the vaccine clinic at "
150				 || 			Neutral			 || 			"nullHALIFAX, rnNew, Brunswick, is, reporting, one, new, case, of, COVID19, on, Sunday, as, the, active, number, of, cases, in, the, province, rises, to, nine, rnThe, new, case, was, identified, in, the, provinces, Fredericton, re"			 || 			"HALIFAX  rnNew Brunswick is reporting one new case of COVID19 on Sunday, as the active number of cases in the province rises to nine.rnThe new case was identified in the provinces Fredericton re "
151				 || 			Neutral			 || 			"nullHALIFAX, rnFor, the, ninth, consecutive, day, New, Brunswick, is, reporting, no, new, cases, of, COVID19, on, Wednesday, along, with, two, recoveries, as, the, active, number, of, cases, in, the, province, drops, to, two, rnI"			 || 			"HALIFAX  rnFor the ninth consecutive day, New Brunswick is reporting no new cases of COVID19 on Wednesday, along with two recoveries, as the active number of cases in the province drops to two.rnI "
152				 || 			Positive			 || 			"nullMONCTON, New, Brunswick(BUSINESS, WIRE)Organigram, Holdings, Inc, (NASDAQ:, OGI), (TSX:, OGI), the, parent, company, of, Organigram, Inc, (the, Company, or, Organigram), a, leading, licensed, producer, of, cannabis"			 || 			"MONCTON, New Brunswick(BUSINESS WIRE)Organigram Holdings Inc. (NASDAQ: OGI) (TSX: OGI), the parent company of Organigram Inc. (the Company or Organigram), a leading licensed producer of cannabis, "
153				 || 			Positive			 || 			"nullHALIFAX, rnNew, Brunswick, is, reporting, one, new, case, of, COVID19, on, Monday, along, with, one, recovery, as, six, active, cases, remain, in, the, province, rnThe, new, case, involves, a, person, in, their, 60s, in, the, Fr"			 || 			"HALIFAX  rnNew Brunswick is reporting one new case of COVID19 on Monday, along with one recovery, as six active cases remain in the province.rnThe new case involves a person in their 60s in the Fr "
154				 || 			Neutral			 || 			"nullPrime, Minister, Justin, Trudeau, said, Tuesday, hes, not, happy, with, the, Montreal, Canadiens, draft, selection, of, a, player, convicted, of, a, sexrelated, offence, rnAs, a, lifelong, Habs, fan, I, have, to, say, I, am, deeply"			 || 			"Prime Minister Justin Trudeau said Tuesday hes not happy with the Montreal Canadiens draft selection of a player convicted of a sexrelated offence.rnAs a lifelong Habs fan, I have to say I am deeply "
155				 || 			Negative			 || 			"nullThe, video, was, tweeted, with, the, simple, caption:, This, is, the, most, depressing, shit, Ive, ever, seen, The, clip, lifted, from, TikTok, was, of, two, young, men, in, their, midtwenties, who, live, in, Canada, speaking, fr"			 || 			"The video was tweeted with the simple caption: This is the most depressing shit Ive ever seen. The clip, lifted from TikTok, was of two young men in their midtwenties who live in Canada, speaking fr "
156				 || 			Negative			 || 			"nullRecent, research, from, Canada, seems, to, show, that, wildfires, can, continue, to, hurt, the, lungs, of, firefighters, for, years, after, theyve, burnt, out, The, study, found, that, first, responders, who, combated, the, Fort, M"			 || 			"Recent research from Canada seems to show that wildfires can continue to hurt the lungs of firefighters for years after theyve burnt out. The study found that first responders who combated the Fort M "
157				 || 			Positive			 || 			"nullEach, day, a, team, of, analysts, in, the, UK, faces, a, seemingly, endless, mountain, of, horrors, The, team, of, 21, who, work, at, the, Internet, Watch, Foundations, office, in, Cambridgeshire, spend, hours, trawling, through"			 || 			"Each day, a team of analysts in the UK faces a seemingly endless mountain of horrors. The team of 21, who work at the Internet Watch Foundations office in Cambridgeshire, spend hours trawling through "
158				 || 			Negative			 || 			"nullFor, edtech, startups, its, always, been, easier, to, go, directtoconsumerthan, it, is, to, sell, into, school, districts, The, latter, has, stodgy, and, strict, sales, cycles, while, the, former, has, a, bit, more, flexibili"			 || 			"For edtech startups, its always been easier to go directtoconsumerthan it is to sell into school districts. The latter has stodgy and strict sales cycles, while the former has a bit more flexibili "
159				 || 			Positive			 || 			"nullWhen, we, came, back, to, the, United, States, and, I, started, college, in, Tennessee, the, only, piano, was, in, the, boys, dorm, she, said, so, I, borrowed, a, guitar, that, belonged, to, somebody, and, I, liked, it, rnShe, droppe"			 || 			"When we came back to the United States and I started college in Tennessee, the only piano was in the boys dorm, she said, so I borrowed a guitar that belonged to somebody, and I liked it.rnShe droppe "
160				 || 			Negative			 || 			"nulltabletrthSummer, international:, England, v, Canada/th/trrntrtdEngland:, (42), 70/td/trtrtdTries:, Blamire, 3, Radwan, 3, Cokanasiga, 2, Genge, Penalty, Try, Cons:, Smith, 9/td/trtrtd"			 || 			"tabletrthSummer international: England v Canada/th/trrntrtdEngland: (42) 70/td/trtrtdTries: Blamire 3, Radwan 3, Cokanasiga 2, Genge, Penalty Try Cons: Smith 9/td/trtrtd "
161				 || 			Positive			 || 			"nullKatie, Ledecky, has, won, the, womens, 1500meter, freestyle, final, giving, the, American, her, first, gold, medal, of, the, Tokyo, 2020, Olympic, Games, rnLedecky, who, holds, the, world, record, in, the, 1500m, came, into, thi"			 || 			"Katie Ledecky has won the womens 1500meter freestyle final, giving the American her first gold medal of the Tokyo 2020 Olympic Games.rnLedecky, who holds the world record in the 1500m, came into thi "
162				 || 			Negative			 || 			"null(CNN)Severe, weather, including, possible, tornadoes, large, hail, and, damaging, winds, will, threaten, more, than, 80, million, people, across, the, Midwest, and, Northeast, on, Wednesday, according, to, forecasts"			 || 			"(CNN)Severe weather  including possible tornadoes, large hail and damaging winds  will threaten more than 80 million people across the Midwest and Northeast on Wednesday, according to forecasts.  "
163				 || 			Negative			 || 			"nullIn, the, past, year, as, more, people, have, been, working, from, home, physical, therapists, have, been, seeing, an, increase, in, patients, with, dead, butt, syndrome, or, DBS, for, short, which, is, pain, numbness, and, ting"			 || 			"In the past year, as more people have been working from home, physical therapists have been seeing an increase in patients with dead butt syndrome, or DBS for short, which is pain, numbness, and ting "
164				 || 			Negative			 || 			"nullHow, do, you, know, when, youre, officially, an, adult?, When, is, it, okay, to, quit, a, job, and, when, should, you, stick, it, out?, How, the, heck, do, you, figure, out, what, you, want, to, do, with, your, life?rnThis, week, were, ta"			 || 			"How do you know when youre officially an adult? When is it okay to quit a job, and when should you stick it out? How the heck do you figure out what you want to do with your life?rnThis week, were ta "
165				 || 			Negative			 || 			"nullAuthor, Xiran, Jay, Zhao, makes, their, debut, with, IronWidow, the, tale, of, a, teenage, girl, who, overcomes, a, patriarchal, societyone, that, also, involves, giant, robotsfighting, mecha, aliensto, avenge, her, sisters, dea"			 || 			"Author Xiran Jay Zhao makes their debut with IronWidow, the tale of a teenage girl who overcomes a patriarchal societyone that also involves giant robotsfighting mecha aliensto avenge her sisters dea "
166				 || 			Neutral			 || 			"nullBy, Jake, HortonBBC, Reality, Checkrnimage, copyrightGetty, ImagesrnPresident, Joe, Biden, is, urging, Americans, to, get, jabbed, as, the, countrys, vaccination, rollout, slows, down, rnInfections, are, rising, across, the"			 || 			"By Jake HortonBBC Reality Checkrnimage copyrightGetty ImagesrnPresident Joe Biden is urging Americans to get jabbed as the countrys vaccination rollout slows down.rnInfections are rising across the  "
167				 || 			Neutral			 || 			"nullThe, road, to, entrepreneurship, is, never, easy, The, process, is, stressful, and, requires, a, tremendous, amount, of, hustle, risktaking, and, comfort, with, ambiguity, The, sacrifices, are, innumerable, and, they, somet"			 || 			"The road to entrepreneurship is never easy. The process is stressful and requires a tremendous amount of hustle, risktaking and comfort with ambiguity. The sacrifices are innumerable, and they somet "
168				 || 			Positive			 || 			"nullThe, Station, is, a, weekly, newsletter, dedicated, to, all, things, transportation, Sign, up, here, just, click, The, Station, to, receive, it, every, weekend, in, your, inbox, rnHello, and, welcome, to, The, Station, your, centr"			 || 			"The Station is a weekly newsletter dedicated to all things transportation.Sign up here just click The Station to receive it every weekend in your inbox.rnHello and welcome to The Station, your centr "
169				 || 			Positive			 || 			"nullThe, tech, boom, in, Southeast, Asia, isnt, just, seeding, a, wave, of, new, entrepreneurs, building, the, next, generation, of, unicorns, its, also, ushering, young, talent, into, the, roles, of, firsttime, managers, And, NewCa"			 || 			"The tech boom in Southeast Asia isnt just seeding a wave of new entrepreneurs building the next generation of unicorns, its also ushering young talent into the roles of firsttime managers. And NewCa "
170				 || 			Neutral			 || 			"nullOTTAWA, ON, June, 29, 2021, /CNW/, The, Chair, of, the, National, Gallery, of, Canada, Foundation, Ann, Bowman, has, announced, the, appointment, of, four, new, members, to, the, Foundations, Board, of, Directors, rnThe, Fo"			 || 			"OTTAWA, ON, June 29, 2021 /CNW/  The Chair of the National Gallery of Canada Foundation, Ann Bowman, has announced the appointment of four new members to the Foundations Board of Directors.rnThe Fo "
171				 || 			Positive			 || 			"nullMaking, federalism, work, for, CanadarnIn, this, special, episode, of, The, House, experts, discuss, whether, Canadas, federal, system, is, able, to, handle, big, crises, and, how, the, country, has, handled, the, COVID19, pand"			 || 			"Making federalism work for CanadarnIn this special episode of The House, experts discuss whether Canadas federal system is able to handle big crises and how the country has handled the COVID19 pand "
172				 || 			Negative			 || 			"nullNearly, two, years, ago, we, all, had, a, hearty, laugh, about, 30, to, 50, feral, hogs, Turns, out, that, all, those, pigs, arent, just, a, horribly, invasive, species, but, they, could, be, wreaking, real, havoc, when, it, comes, to"			 || 			"Nearly two years ago, we all had a hearty laugh about 30 to 50 feral hogs. Turns out that all those pigs arent just a horribly invasive species, but they could be wreaking real havoc when it comes to "
173				 || 			Negative			 || 			"nullAmid, the, Wests, dire, megadrought, theres, more, bad, news, on, the, water, front, Lake, Powell, a, crucial, reservoir, on, the, Colorado, River, has, now, hit, its, lowest, level, on, record, since, the, reservoir, was, first"			 || 			"Amid the Wests dire megadrought, theres more bad news on the water front. Lake Powell, a crucial reservoir on the Colorado River, has now hit its lowest level on record since the reservoir was first  "
174				 || 			Neutral			 || 			"nullHouse, prices, fell, last, month, for, the, first, time, since, January, in, a, sign, that, the, overheating, UK, housing, market, is, finally, starting, to, cool, according, to, lender, Halifax, rnMonthonmonth, the, price, of"			 || 			"House prices fell last month for the first time since January in a sign that the overheating UK housing market is finally starting to cool, according to lender Halifax.rnMonthonmonth, the price of  "
175				 || 			Negative			 || 			"nullA, World, Health, Organization, expert, advisory, panel, Monday, issued, two, new, reports, recommending, the, implementation, of, global, standards, aimed, at, preventing, unscrupulous, inequitable, and, potentially, dange"			 || 			"A World Health Organization expert advisory panel Monday issued two new reports recommending the implementation of global standards aimed at preventing unscrupulous, inequitable and potentially dange "
176				 || 			Positive			 || 			"nullCanadian, party, leaders, worked, their, way, around, the, country, this, weekin, what, some, see, as, a, sure, sign, the, pandemic, is, near, its, endbut, also, as, proof, that, a, federal, election, is, on, its, way, rnBut, with, t"			 || 			"Canadian party leaders worked their way around the country this weekin what some see as a sure sign the pandemic is near its endbut also as proof that a federal election is on its way.rnBut with t "
177				 || 			Neutral			 || 			"nullHALIFAX, rnFor, the, fourth, consecutive, day, Nova, Scotia, is, reporting, no, new, cases, of, COVID19, on, Saturday, along, with, three, recoveries, as, the, active, number, of, cases, in, the, province, drops, to, five, rn"			 || 			"HALIFAX  rnFor the fourth consecutive day, Nova Scotia is reporting no new cases of COVID19 on Saturday, along with three recoveries, as the active number of cases in the province drops to five.rn "
178				 || 			Neutral			 || 			"nullAt, a, GlancernulliOver, 35, locations, in, the, Pacific, Northwest, and, western, Canada, have, already, tied, or, set, new, alltime, heat, records, /liliThis, includes, both, Seattle, and, Portland, Oregon, /lili"			 || 			"At a GlancernulliOver 35 locations in the Pacific Northwest and western Canada have already tied or set new alltime heat records./liliThis includes both Seattle and Portland, Oregon./lili "
179				 || 			Negative			 || 			"nullOnce, again, politicians, in, Europe, are, asking:, do, lobsters, feel, pain?, Is, it, animal, cruelty, to, drop, them, live, into, pots, of, boiling, water?rnFor, activists, outside, Westminster, in, London, on, Tuesday, the, ans"			 || 			"Once again politicians in Europe are asking: do lobsters feel pain? Is it animal cruelty to drop them live into pots of boiling water?rnFor activists outside Westminster in London on Tuesday, the ans "
180				 || 			Neutral			 || 			"nullCanadian, and, American, flags, fly, near, the, Ambassador, Bridge, at, the, CanadaU, S, border, crossing, in, Windsor, Ont, on, March, 21, 2020, rnRob, Gurdebeke/The, Canadian, PressrnBorder, experts, and, political, obse"			 || 			"Canadian and American flags fly near the Ambassador Bridge at the CanadaU.S. border crossing in Windsor, Ont. on March 21, 2020. rnRob Gurdebeke/The Canadian PressrnBorder experts and political obse "
181				 || 			Positive			 || 			"nullThe, latest, news, on, COVID19, developments, in, Canada, (all, times, eastern):rn9:46, p, m, rnYukons, top, doctor, is, reporting, 40, new, cases, of, COVID19, between, Friday, and, Monday, noon, rnDr, Brendan, Hanley, says, t"			 || 			"The latest news on COVID19 developments in Canada (all times eastern):rn9:46 p.m.rnYukons top doctor is reporting 40 new cases of COVID19 between Friday and Monday noon.rnDr. Brendan Hanley says t "
182				 || 			Negative			 || 			"nullStripe, with, its, 95, billion, valuation, has, been, taking, on, the, payment, landscape, with, a, whole, platform, approach, bringing, in, dozens, of, adjacent, services, to, snag, a, wider, and, deeper, set, of, customers, th"			 || 			"Stripe, with its 95 billion valuation, has been taking on the payment landscape with a whole platform approach, bringing in dozens of adjacent services to snag a wider and deeper set of customers th "
183				 || 			Neutral			 || 			"null(Reuters), Here, are, some, upcoming, events, of, interest, to, the, employment, law, community, Unless, otherwise, noted, all, times, are, local, and, court, appearances, are, virtual, due, to, the, COVID19, pandemic, rnTu"			 || 			"(Reuters)  Here are some upcoming events of interest to the employment law community. Unless otherwise noted, all times are local, and court appearances are virtual due to the COVID19 pandemic.rnTu "
184				 || 			Neutral			 || 			"nullHALIFAX, Nova, Scotia, July, 13, 2021, (GLOBE, NEWSWIRE), The, Government, of, Canada, through, its, COVID19, Immunity, Task, Force, (CITF), and, Vaccine, Surveillance, Reference, Group, (VSRG), is, investing, approxi"			 || 			"HALIFAX, Nova Scotia, July 13, 2021 (GLOBE NEWSWIRE)  The Government of Canada, through its COVID19 Immunity Task Force (CITF) and Vaccine Surveillance Reference Group (VSRG), is investing approxi "
185				 || 			Neutral			 || 			"nullHALIFAX, NS, /, ACCESSWIRE, /, July, 19, 2021, /, Meta, Materials, Inc, (the, Company, or, META), (NASDAQ:MMAT), a, developer, of, highperformance, functional, materials, and, nanocomposites, today, announced, that, M"			 || 			"HALIFAX, NS / ACCESSWIRE / July 19, 2021 / Meta Materials Inc. (the Company or META) (NASDAQ:MMAT) a developer of highperformance functional materials and nanocomposites, today announced that M "
186				 || 			Neutral			 || 			"nullThe, worlds, covid19, vaccination, rate, stands, at, just, 13, 4, a, stubbornly, low, number, that, needs, to, improve, before, we, can, declare, the, coronavirus, pandemic, behind, us, But, some, countries, have, done, exceedi"			 || 			"The worlds covid19 vaccination rate stands at just 13.4, a stubbornly low number that needs to improve before we can declare the coronavirus pandemic behind us. But some countries have done exceedi "
187				 || 			Positive			 || 			"nullWere, people, happier, in, the, good, old, days?, And, when, were, they?, William, Collins, NewportrnSend, new, questions, to, nqtheguardian, com, rnPeople, were, not, happier, in, the, old, days, They, were, just, less, incline"			 || 			"Were people happier in the good old days? And when were they? William Collins, NewportrnSend new questions to nqtheguardian.com.rnPeople were not happier in the old days. They were just less incline "
188				 || 			Neutral			 || 			"nullEXTON, Pa, (BUSINESS, WIRE)Immunome, Inc, (Nasdaq:, IMNM), a, biopharmaceutical, company, that, utilizes, its, human, memory, B, cell, discovery, engine, platform, to, discover, and, develop, firstinclass, antibody"			 || 			"EXTON, Pa.(BUSINESS WIRE)Immunome, Inc. (Nasdaq: IMNM), a biopharmaceutical company that utilizes its human memory B cell discovery engine platform to discover and develop firstinclass antibody "
189				 || 			Negative			 || 			"nullSergey, Nazarov/iStock, via, Getty, ImagesrnInvestment, Thesisrn, We, will, look, at, the, cold, hard, numbers, to, quantitatively, prove, that, Goodfood, is, a, serious, grocery, player, with, an, operational, competitive, adv"			 || 			"Sergey Nazarov/iStock via Getty ImagesrnInvestment Thesisrn We will look at the cold hard numbers to quantitatively prove that Goodfood is a serious grocery player with an operational competitive adv "
190				 || 			Negative			 || 			"nullExperts, have, been, advising, against, large, crowds, ever, since, the, pandemic, reached, India, rnImages, of, tourists, thronging, Himachal, Pradesh, have, brought, condemnation, on, social, media, as, the, country, braces, f"			 || 			"Experts have been advising against large crowds ever since the pandemic reached India.rnImages of tourists thronging Himachal Pradesh have brought condemnation on social media as the country braces f "
191				 || 			Negative			 || 			"nullA, longtime, professor, at, the, University, of, Kings, College, and, Dalhousie, University, in, Halifax, has, pleaded, not, guilty, to, charges, of, indecent, assault, and, gross, indecency, rnThe, charges, againstWayne, John"			 || 			"A longtime professor at the University of Kings College and Dalhousie University in Halifax has pleaded not guilty to charges of indecent assault and gross indecency.rnThe charges againstWayne John "
192				 || 			Negative			 || 			"nullLast, week, NBC, White, House, correspondent, Geoff, Bennett, tweeted, the, banal, observation, that, he, couldnt, remember, the, last, time, he, saw, Democratic, and, Republican, senators, having, a, laugh, in, public, It, was"			 || 			"Last week, NBC White House correspondent Geoff Bennett tweeted the banal observation that he couldnt remember the last time he saw Democratic and Republican senators having a laugh in public. It was  "
193				 || 			Neutral			 || 			"nullOTTAWA, Chief, public, health, officer, Dr, Theresa, Tam, says, the, latest, variant, of, interest, in, the, COVID19, pandemic, has, popped, up, in, Canada, in, small, numbers, but, its, too, early, to, know, how, widespread, i"			 || 			"OTTAWA  Chief public health officer Dr. Theresa Tam says the latest variant of interest in the COVID19 pandemic has popped up in Canada in small numbers, but its too early to know how widespread i "
194				 || 			Negative			 || 			"nullWhats, the, virus, situation, and, in, particular, the, situation, with, the, Delta, variant?rnWell, Canada, is, not, seeing, what, Britain, is, seeing, but, the, Delta, variant, is, certainly, here, now, Generally, speaking"			 || 			"Whats the virus situation, and in particular, the situation with the Delta variant?rnWell, Canada is not seeing what Britain is seeing but the Delta variant is certainly here now. Generally speaking, "
195				 || 			Negative			 || 			"nullAlbertans, enter, a, COVID19, mass, immunization, clinic, in, downtown, Calgary, on, Monday, May, 17, rnJeff, McIntosh/The, Canadian, PressrnDemand, in, Alberta, for, second, doses, of, COVID19, vaccines, has, fallen, sharpl"			 || 			"Albertans enter a COVID19 mass immunization clinic in downtown Calgary on Monday, May 17.rnJeff McIntosh/The Canadian PressrnDemand in Alberta for second doses of COVID19 vaccines has fallen sharpl "
196				 || 			Neutral			 || 			"nullLiveUpdatedJune, 30, 2021, 3:55, p, m, ETrnJune, 30, 2021, 3:55, p, m, ETrnHeres, what, you, need, to, know:rnThe, House, voted, mostly, along, party, lines, on, Wednesday, to, create, a, select, committee, to, investigate, t"			 || 			"LiveUpdatedJune 30, 2021, 3:55 p.m. ETrnJune 30, 2021, 3:55 p.m. ETrnHeres what you need to know:rnThe House voted mostly along party lines on Wednesday to create a select committee to investigate t "
197				 || 			Neutral			 || 			"nullSainte, Helenes, son, has, been, missing, for, about, a, year, and, a, half, She, avoids, eye, contact, as, she, recounts, the, story, cradling, her, arms, with, her, back, hunched, forward, A, Haitian, community, leader, named, J"			 || 			"Sainte Helenes son has been missing for about a year and a half. She avoids eye contact as she recounts the story, cradling her arms with her back hunched forward. A Haitian community leader named J "
198				 || 			Negative			 || 			"nullLONDON, July, 7, (Reuters), Britains, housing, market, boom, showed, some, signs, of, cooling, in, June, as, prices, fell, in, monthly, terms, for, the, first, time, since, January, ahead, of, the, scaling, back, of, a, tax, break"			 || 			"LONDON, July 7 (Reuters)  Britains housing market boom showed some signs of cooling in June as prices fell in monthly terms for the first time since January ahead of the scaling back of a tax break "
199				 || 			Neutral			 || 			"nullBy, Reuters, Staffrn(Adds, details, and, background)rnLONDON, July, 7, (Reuters), Britains, housing, market, boom, showed, some, signs, of, cooling, in, June, as, prices, fell, in, monthly, terms, for, the, first, time, since"			 || 			"By Reuters Staffrn(Adds details and background)rnLONDON, July 7 (Reuters)  Britains housing market boom showed some signs of cooling in June as prices fell in monthly terms for the first time since  "
200				 || 			Positive			 || 			"nullHALIFAX, rnNova, Scotia, is, reporting, seven, new, cases, of, COVID19, on, Tuesday, as, well, as, eight, recoveries, as, the, active, number, of, cases, in, the, province, drops, to, 44, the, lowest, number, of, active, case"			 || 			"HALIFAX  rnNova Scotia is reporting seven new cases of COVID19 on Tuesday, as well as eight recoveries, as the active number of cases in the province drops to 44  the lowest number of active case "
201				 || 			Neutral			 || 			"nullHALIFAX, rnNew, Brunswick, is, reporting, one, new, case, of, COVID19, on, Monday, as, the, active, number, of, cases, in, the, province, rises, to, 26, rnThe, case, is, in, the, provinces, Moncton, region, (Zone, 1), and, involv"			 || 			"HALIFAX  rnNew Brunswick is reporting one new case of COVID19 on Monday as the active number of cases in the province rises to 26.rnThe case is in the provinces Moncton region (Zone 1) and involv "
202				 || 			Negative			 || 			"nullimage, captionOne, church, in, Calgary, was, daubed, with, paintrnTen, churches, have, been, vandalised, in, Alberta, Canada, in, attacks, that, police, have, linked, to, anger, over, historic, injustices, against, indigenous"			 || 			"image captionOne church in Calgary was daubed with paintrnTen churches have been vandalised in Alberta, Canada, in attacks that police have linked to anger over historic injustices against indigenous "
203				 || 			Neutral			 || 			"nullThe, discoveries, of, hundreds, of, unmarked, graves, at, former, residential, schools, for, Indigenous, children, in, Canada, have, prompted, renewed, calls, for, a, reckoning, over, the, traumatic, legacy, of, similar, schools"			 || 			"The discoveries of hundreds of unmarked graves at former residential schools for Indigenous children in Canada have prompted renewed calls for a reckoning over the traumatic legacy of similar schools "
204				 || 			Positive			 || 			"nullTampa, Bay, Lightning, celebrate, in, front, of, their, fans, after, Ross, Coltons, goalrnThe, Tampa, Bay, Lightning, celebrated, a, second, consecutive, Stanley, Cup, victory, in, front, of, their, home, fans, after, beating, th"			 || 			"Tampa Bay Lightning celebrate in front of their fans after Ross Coltons goalrnThe Tampa Bay Lightning celebrated a second consecutive Stanley Cup victory in front of their home fans after beating th "
205				 || 			Positive			 || 			"nullBy, Reuters, StaffrnOTTAWA, (Reuters), Canada, has, obtained, enough, COVID19, vaccines, to, inoculate, everyone, who, is, eligible, and, managed, to, do, so, ahead, of, schedule, Prime, Minister, Justin, Trudeau, told, repo"			 || 			"By Reuters StaffrnOTTAWA (Reuters)  Canada has obtained enough COVID19 vaccines to inoculate everyone who is eligible and managed to do so ahead of schedule, Prime Minister Justin Trudeau told repo "
206				 || 			Neutral			 || 			"nullimage, captionEnvironment, Canada, has, issued, heat, warnings, for, British, Columbia, and, AlbertarnA, village, in, Canada, has, recorded, the, countrys, highest, ever, temperature, just, one, day, after, it, smashed, the, p"			 || 			"image captionEnvironment Canada has issued heat warnings for British Columbia and AlbertarnA village in Canada has recorded the countrys highest ever temperature, just one day after it smashed the p "
207				 || 			Positive			 || 			"nullHALIFAX, rnNew, Brunswick, is, reporting, two, new, cases, of, COVID19, on, Wednesday, along, with, one, recovery, as, the, number, of, active, cases, in, the, province, rises, to, eight, rnBoth, new, cases, were, identified"			 || 			"HALIFAX  rnNew Brunswick is reporting two new cases of COVID19 on Wednesday, along with one recovery, as the number of active cases in the province rises to eight.rnBoth new cases were identified  "
208				 || 			Neutral			 || 			"nullOTTAWA, Chief, public, health, officer, Dr, Theresa, Tam, says, the, latest, variant, of, interest, in, the, COVID19, pandemic, has, popped, up, in, Canada, in, small, numbers, but, its, too, early, to, know, how, widespread, i"			 || 			"OTTAWA  Chief public health officer Dr. Theresa Tam says the latest variant of interest in the COVID19 pandemic has popped up in Canada in small numbers, but its too early to know how widespread i "
